video_id,influencer,platform,main_topic,content_type,content_format,nj_relevance_score,local_vs_universal,tone,target_audience,production_quality,originality_score,analysis_confidence
Z6ZEO0CqFZ0,Joe Bartolozzi,youtube,Teletubbies conspiracy theory reaction,reaction,reaction,0.1,universal,humorous,"Gen Z and Millennials interested in internet culture, gaming, and nostalgic media critiques",medium,0.4,0.9
_szFslzcrrc,Joe Bartolozzi,youtube,Wealth of historical figures,reaction,reaction,0.1,universal,humorous,Gen Z and Millennial viewers interested in internet culture and trivia,medium,0.4,0.9
_tZgf0xEgr4,Joe Bartolozzi,youtube,Twitchcon convention experiences,entertainment,vlog,0.1,national,humorous,"Fans of Joe Bartolozzi, Twitch users, and Gen Z gaming culture enthusiasts",high,0.7,0.85
_ye-dbFJedg,Joe Bartolozzi,youtube,Psychological brain phenomena,reaction,reaction,0.1,universal,humorous,Gen Z and Millennial viewers interested in 'edutainment' and reaction-style commentary,medium,0.3,0.95
-9JQccfa6fc,Keri Fay,youtube,Relationship origin story,entertainment,talking_head,0.2,universal,humorous,"Fans of lifestyle influencers, young adults interested in relationship content, and existing followers of Keri Fay",medium,0.4,0.85
-xOdkY24CHs,Keri Fay,youtube,Spring denim jacket styling,lifestyle,tutorial,0.1,universal,informative,Fashion-conscious women interested in minimalist and accessible style,high,0.4,0.9
5lwOzU1MfSM,Keri Fay,youtube,Abercrombie & Fitch fashion haul,promotion,talking_head,0.1,universal,informative,Fashion-conscious women looking for wardrobe basics and brand-specific fit reviews,high,0.3,0.95
BuGaKpL4yNs,Keri Fay,youtube,Influencer lifestyle and behind-the-scenes,lifestyle,vlog,0.4,regional,casual,"Young women in the NJ/NY area interested in fashion, lifestyle, and social media careers",high,0.6,0.85
Ehq32KZAm8s,Keri Fay,youtube,Low-carb Thai cooking tutorial,lifestyle,tutorial,0.1,universal,casual,"Health-conscious individuals and fans of lifestyle influencers interested in quick, low-carb recipes",medium,0.4,0.9
gUwcS-2M1-4,Keri Fay,youtube,Low carb daily meal plan,lifestyle,vlog,0.1,universal,informative,"People interested in weight loss, low-carb dieting, and health-conscious lifestyle content",medium,0.4,0.9
HnZ2N1XPiqw,Keri Fay,youtube,Texturized hair wave tutorial,educational,tutorial,0.1,universal,informative,Beauty enthusiasts and individuals looking for accessible hair styling tips,high,0.4,0.9
IKG8f3IAbJU,Keri Fay,youtube,Sleek bun hair tutorial,educational,tutorial,0.2,universal,informative,"Beauty enthusiasts and women looking for quick, polished hair styling solutions",high,0.4,0.95
IvOqbUPvfZM,Keri Fay,youtube,Social media aesthetic and editing,educational,tutorial,0.1,universal,informative,"Aspiring influencers, content creators, and social media enthusiasts interested in fashion and photography aesthetics.",high,0.6,0.95
mKfYftzx6TE,Keri Fay,youtube,Low carb lifestyle and meals,lifestyle,vlog,0.1,universal,informative,"Women interested in health, fitness, and lifestyle optimization",high,0.4,0.9
nMUHkolw77k,Keri Fay,youtube,Italy Honeymoon Travel Guide,lifestyle,vlog,0.1,universal,inspirational,"Brides-to-be, fashion-conscious travelers, and followers of luxury lifestyle influencers",high,0.6,0.9
SgjRF7Ax53w,Keri Fay,youtube,Wedding and bridal preparations,lifestyle,vlog,0.6,regional,casual,"Women interested in fashion, wedding planning, and lifestyle content, particularly in the NJ/NY tri-state area.",high,0.4,0.85
sU2jFpwh_xE,Keri Fay,youtube,Daily lifestyle and family surprise,lifestyle,vlog,0.6,universal,casual,"Young women interested in lifestyle curation, fitness, and 'clean girl' aesthetics",high,0.4,0.9
thQIffiC48E,Keri Fay,youtube,Styling black leggings,lifestyle,tutorial,0.1,universal,informative,"Women interested in minimalist fashion, comfort-focused styling, and everyday outfit ideas",high,0.4,0.9
UCCbzOhefQ440dp8-T_RfL6w,Keri Fay,youtube,"Lifestyle, fashion, and beauty",lifestyle,vlog,0.7,regional,casual,"Young women in the NJ/NYC area interested in fashion, beauty, and suburban-metropolitan lifestyle",high,0.5,0.8
UGl129roA34,Keri Fay,youtube,Catskills luxury travel vlog,lifestyle,vlog,0.2,regional,casual,"Tri-state area women interested in luxury travel, fashion, and aesthetic lifestyle content",high,0.5,0.9
w4rgbYmyZjk,Keri Fay,youtube,Lifestyle and fashion vlog,lifestyle,vlog,0.7,regional,casual,"Young women interested in fashion, beauty, and 'clean girl' aesthetic lifestyle content, particularly in the NJ/NY area",high,0.4,0.9
-hdCoHu6GoU,madewithsaz0n Elena Gergis,youtube,Caribbean Fusion Fried Snapper,educational,tutorial,0.4,universal,informative,Home cooks and foodies interested in Caribbean and Latin fusion cuisine,high,0.7,0.9
bjXGxrWvFMk,madewithsaz0n Elena Gergis,youtube,Latin-style sushi roll recipe,educational,tutorial,0.2,universal,informative,"Home cooks, parents looking for lunchbox ideas, and foodies interested in Latin-Asian fusion",high,0.7,0.9
UC0U1JvrNvYJfgKn0F-mRSbQ,madewithsaz0n Elena Gergis,youtube,Puerto Rican culinary heritage,educational,tutorial,0.4,universal,inspirational,Home cooks interested in Latin cuisine and the Puerto Rican diaspora,medium,0.6,0.85
94jAncm1iF0,myteacherface Jessica Hawk,youtube,Origins of sexual orientation,lifestyle,talking_head,0.4,universal,inspirational,"LGBTQ+ community, allies, and followers of Jessica Hawk's educational/personal content",medium,0.7,0.85
agdKC8KgOBM,myteacherface Jessica Hawk,youtube,High school teacher classroom interactions,entertainment,montage,0.3,universal,humorous,"Current and aspiring teachers, high school students, and Gen Z social media users",medium,0.7,0.85
AUHLKJcKZ2w,myteacherface Jessica Hawk,youtube,Academic integrity in college,opinion,talking_head,0.4,universal,informative,"Educators, college students, parents, and those interested in the current state of the education system",medium,0.6,0.85
EqT3hvSZGps,myteacherface Jessica Hawk,youtube,Teacher's 9/11 personal reflections,opinion,talking_head,0.8,regional,serious,"Educators, New Jersey residents, and individuals who lived through 9/11",medium,0.6,0.9
u6yIfFF8-Hg,myteacherface Jessica Hawk,youtube,Distopian education assignment reality,educational,talking_head,0.4,universal,serious,"Educators, former students, and people interested in the impact of technology on society",medium,0.8,0.85
UCztq7UT0r2WhK0jD3xswDVQ,myteacherface Jessica Hawk,youtube,Teacher life and childfree lifestyle,entertainment,talking_head,0.6,regional,humorous,"Current and former teachers, childfree individuals, and women in the NJ/PA/NY area",medium,0.8,0.9
090tV4jRJ5I,NJ Athletics,youtube,NJ High School Football Weekly,news,news_report,1.0,local,informative,"New Jersey high school students, parents, coaches, and local football fans",medium,0.7,0.95
72YtZKK1RO4,NJ Athletics,youtube,NJ High School Football Playoffs,news,news_report,1.0,local,informative,"NJ high school football fans, parents, student-athletes, and local sports enthusiasts",medium,0.8,0.95
atlXVoDNWA8,NJ Athletics,youtube,NJ High School Girls Wrestling,news,other,1.0,local,informative,"NJ high school sports fans, residents of Hanover Park and Ridgewood, wrestling community",medium,0.7,0.95
HnlUqc_iBkg,NJ Athletics,youtube,New Jersey High School Football,news,interview,1.0,local,informative,"NJ high school students, parents, coaches, and local football fans",medium,0.8,0.95
N33dU419FhY,NJ Athletics,youtube,Interview with Younghoe Koo,entertainment,interview,0.9,regional,informative,New Jersey sports fans and aspiring local athletes,medium,0.7,0.85
QnFekfIwc9w,NJ Athletics,youtube,NJ High School Football Weekly Recap,news,news_report,1.0,local,informative,"NJ high school students, parents, alumni, and local sports fans",medium,0.8,0.95
RRp8LY5XbpM,NJ Athletics,youtube,NJ High School Football Playoffs,news,news_report,1.0,local,informative,"NJ high school students, parents, alumni, and local sports fans",medium,0.8,0.95
UCHm8EfyEvJf9jc3eys9U-bQ,NJ Athletics,youtube,New Jersey high school sports,entertainment,montage,1.0,local,inspirational,"NJ high school students, parents, coaches, and college recruiters",medium,0.7,0.85
x4nuRbVUKIA,NJ Athletics,youtube,NJ High School Girls Wrestling,news,other,1.0,local,informative,"New Jersey high school sports fans, wrestling community, and local residents of Pemberton and Cherry Hill",medium,0.6,0.95
ZEm9_2zTcEA,NJ Athletics,youtube,NJSIAA Football Sectional Semifinals,news,interview,1.0,local,informative,"New Jersey high school football fans, students, parents, and local sports enthusiasts",medium,0.8,1.0
bqgpGyLRDAU,NJ Hoop Recruit,youtube,NJ High School Basketball Highlights,entertainment,montage,1.0,local,inspirational,"NJ high school students, parents, basketball fans, and college recruiters",medium,0.7,0.95
HYVUNPvnmx8,NJ Hoop Recruit,youtube,NJ High School Basketball Matchup,entertainment,montage,1.0,local,dramatic,"NJ high school students, parents, basketball scouts, and local sports fans",medium,0.7,0.95
r02QetE34s4,NJ Hoop Recruit,youtube,High school basketball game,entertainment,other,0.9,regional,informative,"NJ basketball fans, college scouts, high school athletes, and parents",medium,0.6,0.9
UClDr0SmynjjLFMkzAxpsKNg,NJ Hoop Recruit,youtube,NJ High School Basketball,news,montage,1.0,regional,informative,"NJ high school athletes, college scouts, coaches, and local sports fans",medium,0.8,0.9
yVUHG4takHw,NJ Hoop Recruit,youtube,High school basketball highlights,entertainment,montage,0.9,regional,dramatic,"NJ high school basketball fans, scouts, and recruitment enthusiasts",medium,0.7,0.95
NFrBDf6CWQ0,No Regulars Podcast,youtube,WWE Nostalgia and Cultural Debates,entertainment,talking_head,0.6,regional,casual,"Gen Z and Millennial males, specifically those from Northern/Central New Jersey and sports/wrestling fans.",medium,0.7,0.9
Px2LjCY6BYM,No Regulars Podcast,youtube,Humorous variety podcast discussion,entertainment,talking_head,0.8,regional,humorous,Young adults in the New Jersey/Tri-state area interested in comedy and urban culture,medium,0.7,0.9
qChZPdB1500,No Regulars Podcast,youtube,Pop culture and sports discussion,entertainment,talking_head,0.4,national,casual,"Gen Z and Millennial males interested in sports, urban culture, and trending social media topics",medium,0.6,0.85
UCZo_Q_M76gFSidC3hoDGnxw,No Regulars Podcast,youtube,Group conversation and conspiracies,entertainment,interview,0.4,national,provocative,"Young adults interested in fringe topics, conspiracy theories, and unfiltered group dynamics",medium,0.6,0.8
UHAWtrvcHTI,No Regulars Podcast,youtube,Pop culture and urban legends,entertainment,interview,0.4,universal,casual,"Gen Z and Millennial males, likely from the Tri-state area, interested in urban culture and media",medium,0.6,0.9
Y0-ESEFrvMk,No Regulars Podcast,youtube,AI and pop culture commentary,entertainment,talking_head,0.3,universal,casual,"Gen Z and Millennial viewers interested in internet culture, food, and celebrity news.",high,0.5,0.9
0nrBcrulzXQ,Phat Papi Mark Gregory,youtube,Newark Cannabis Dispensary Review,promotion,vlog,1.0,local,humorous,Newark residents and NJ cannabis consumers,medium,0.7,0.9
dtY0DA7LqD0,Phat Papi Mark Gregory,youtube,New Jersey creator collaboration,entertainment,vlog,1.0,regional,inspirational,NJ residents and fans of local social media personalities,medium,0.7,0.85
hl2jk9wKlvo,Phat Papi Mark Gregory,youtube,Local Fitness Community Event,lifestyle,vlog,0.9,local,inspirational,NJ fitness enthusiasts and residents of Essex County,medium,0.6,0.85
hraIZBivOeA,Phat Papi Mark Gregory,youtube,BK Munchies Late-Night Dining,promotion,vlog,1.0,local,casual,"Jersey City residents, NJ food enthusiasts, and late-night workers or revelers",medium,0.7,0.95
KHa8KLMSu3I,Phat Papi Mark Gregory,youtube,New Jersey Seafood Dining,lifestyle,vlog,0.9,local,casual,New Jersey residents and seafood enthusiasts,medium,0.7,0.85
PlMcmNZlcXw,Phat Papi Mark Gregory,youtube,Sneaker care and protection,promotion,vlog,0.3,universal,casual,"Sneaker enthusiasts, streetwear collectors, and fans of urban lifestyle content",medium,0.4,0.9
sOf-I5AKfVM,Phat Papi Mark Gregory,youtube,Sneaker cleaning product promotion,promotion,vlog,0.7,regional,casual,Sneakerheads and fans of NJ-based fitness/influencer personalities,medium,0.5,0.9
UCv4rM-3zuT4diN5fJ6lzKCg,Phat Papi Mark Gregory,youtube,New Jersey street culture,lifestyle,vlog,1.0,regional,casual,New Jersey residents and those interested in urban street culture and local legends,medium,0.85,0.9
1PJzGMjB694,Salvatore _Sally Slices_ Mandreucci,youtube,Daily routine and fitness journey,lifestyle,vlog,0.9,regional,inspirational,"Young adults interested in fitness, NJ residents, and fans of pizza culture/entrepreneurship",medium,0.7,0.9
gsOa3jYMRYY,Salvatore _Sally Slices_ Mandreucci,youtube,Cinematic visual storytelling teaser,entertainment,montage,0.4,universal,inspirational,Existing fans of Sally Slices and enthusiasts of cinematic short-form content,professional,0.7,0.85
GUWFc-yUERg,Salvatore _Sally Slices_ Mandreucci,youtube,Pizza preparation and food sourcing,promotion,vlog,0.9,regional,casual,"NJ/NY residents, pizza enthusiasts, and fans of Italian-American personality-driven content",medium,0.7,0.85
UCRkadbSjKbzFqHqf48gBCuA,Salvatore _Sally Slices_ Mandreucci,youtube,"Life, pizza, and motivation",lifestyle,vlog,1.0,regional,inspirational,"NJ residents, pizza enthusiasts, and young entrepreneurs seeking authentic 'hustle' content",medium,0.85,0.95
UCRhnmJfkdSqbEI3Ll6ya2Iw,teacherpaywithk,youtube,Teacher compensation and transparency,educational,other,0.8,regional,informative,"New Jersey educators, prospective teachers, and taxpayers",medium,0.7,0.6
UCV_o30nlG5l6uqi7vn2S7Ng,The Drop Podcast,youtube,New Jersey golf culture,lifestyle,interview,1.0,local,informative,New Jersey residents and golfers interested in local course reviews and community stories,medium,0.8,0.9
99-oKZPoT2U,_JerseyShoreFireResponse,youtube,Emergency vehicle response compilation,entertainment,montage,1.0,local,informative,"Firefighting enthusiasts (buffs), New Jersey residents, and first responders",medium,0.6,0.95
B-Ke42MmB8U,_JerseyShoreFireResponse,youtube,Coast Guard Rescue at Manasquan Inlet,news,news_report,1.0,local,informative,"Jersey Shore residents, local boaters, and people interested in emergency services/first responders",medium,0.9,0.95
MQQwHl1Pbtc,_JerseyShoreFireResponse,youtube,USCG Helicopter Operations,news,other,1.0,local,informative,"New Jersey residents, aviation enthusiasts, and followers of emergency services (fire/rescue/coast guard).",medium,0.8,0.95
mSujOJevbgw,_JerseyShoreFireResponse,youtube,Toms River Strip Mall Fire,news,news_report,1.0,local,informative,"Ocean County residents, first responders, and fire buff enthusiasts",medium,0.9,1.0
ps5GzR6y8Nk,_JerseyShoreFireResponse,youtube,Tugboat collision with Sea Bright bridge,news,news_report,1.0,local,informative,"Monmouth County residents, local commuters, maritime enthusiasts, and emergency service followers.",medium,0.9,0.95
quyzlnrmobw,_JerseyShoreFireResponse,youtube,New Providence House Fire,news,news_report,1.0,local,informative,"New Providence residents, New Jersey fire buffs, and emergency services personnel",medium,0.9,1.0
UCGnM9pbgeNrfe4mRrFgefQA,_JerseyShoreFireResponse,youtube,New Jersey Fire Response,news,other,1.0,regional,serious,"NJ residents, fire buffs, first responders, and local news enthusiasts",medium,0.85,0.95
vXIUMHcp-tU,_JerseyShoreFireResponse,youtube,Lakewood School 3-Alarm Fire,news,news_report,1.0,local,serious,"Lakewood residents, first responders, fire buffs, and Ocean County community members",high,0.9,1.0
XR_yqAExJuo,_JerseyShoreFireResponse,youtube,Seaside Heights rip current rescue,news,news_report,1.0,local,serious,"Jersey Shore residents, families of first responders, and New Jersey news followers",medium,0.9,0.95
zn7ou-1ej6k,_JerseyShoreFireResponse,youtube,Florida prescribed burn operation,educational,vlog,0.3,regional,informative,"Firefighting enthusiasts, New Jersey residents interested in emergency services, and environmental science students",medium,0.7,0.9
3024597744840088688,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,vlog,1.0,local,casual,NJ residents and young professionals in the Tri-State area looking for local recommendations,high,0.7,0.6
3554902379925367233,Aiyana Figueroa _aiyanafig,instagram,Newark lifestyle and motherhood,lifestyle,vlog,0.95,regional,inspirational,"Young women and parents in Northern New Jersey, particularly the Newark area",high,0.8,0.7
3718706963287160680,Aiyana Figueroa _aiyanafig,instagram,New Jersey Lifestyle and Fashion,lifestyle,vlog,0.85,local,casual,Young adults in the NJ/NYC tri-state area interested in fashion and local lifestyle,high,0.6,0.3
3720849932043693270,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and fashion,lifestyle,vlog,0.9,regional,casual,Young adults and Gen Z residents of New Jersey and the Tri-state area,high,0.6,0.4
3722600637402186985,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,montage,1.0,regional,inspirational,NJ residents and young professionals in the Tri-State area,high,0.7,0.6
3723009953104774011,Aiyana Figueroa _aiyanafig,instagram,Lifestyle and fashion content,lifestyle,vlog,0.8,regional,casual,Young adults and Gen Z residents of New Jersey/New York area interested in fashion and influencers.,high,0.5,0.2
3723740218692526540,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle fashion,lifestyle,vlog,0.9,regional,inspirational,Young adults and women interested in NJ lifestyle and fashion,high,0.7,0.5
3724492160796489560,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle content,lifestyle,vlog,0.9,local,casual,Young adults in Northern New Jersey,medium,0.5,0.2
3725191733701517407,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,montage,1.0,local,inspirational,Young professionals and residents in North Jersey/NYC area,high,0.7,0.8
3725907060345303513,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and exploration,lifestyle,vlog,1.0,local,inspirational,NJ residents and young professionals looking for weekend activities,high,0.7,0.1
3726632141707022829,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and beauty,lifestyle,vlog,0.8,regional,casual,Young women and Afro-Latina viewers in New Jersey and New York interested in beauty and fashion,high,0.7,0.4
3727349323944441351,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,montage,1.0,local,inspirational,Millennial and Gen Z New Jersey residents looking for dining and weekend activities,high,0.7,0.8
3728153608278006332,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and fashion,lifestyle,vlog,0.85,regional,inspirational,Young adults and Gen Z residents in the NJ/NY area interested in fashion and beauty,high,0.6,0.5
3728843608700333367,Aiyana Figueroa _aiyanafig,instagram,Lifestyle and beauty in NJ,lifestyle,montage,0.9,regional,inspirational,Gen Z and Millennial residents of North Jersey and NYC,high,0.7,0.5
3730306762230788261,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,montage,1.0,local,casual,Millennial and Gen Z residents of North Jersey and New York City commuters,high,0.75,0.5
3730501611215137217,Aiyana Figueroa _aiyanafig,instagram,Lifestyle and fashion aesthetics,lifestyle,montage,0.7,regional,casual,Young adults in the NJ/NY area interested in fashion and lifestyle,high,0.6,0.3
3730980580221798892,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and fashion,lifestyle,montage,0.8,regional,inspirational,Young adults and women in the NJ/NYC tri-state area interested in fashion and lifestyle,high,0.6,0.5
3732462204428007877,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,vlog,0.95,local,casual,Young professionals and NJ residents interested in local food and events,high,0.7,0.6
3733470134375856951,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,vlog,1.0,local,casual,"NJ residents, foodies, and young professionals in the NY/NJ area",high,0.7,0.2
3734618234909949358,Aiyana Figueroa _aiyanafig,instagram,Lifestyle and Personal Fashion,lifestyle,vlog,0.8,regional,casual,Gen Z and Millennial women in the New Jersey/New York metropolitan area,high,0.6,0.5
3735413826095462693,Aiyana Figueroa _aiyanafig,instagram,New Jersey lifestyle and dining,lifestyle,vlog,0.9,regional,casual,Gen Z and Millennial New Jersey residents interested in dining and lifestyle,high,0.7,0.6
3736122022112026536,Aiyana Figueroa _aiyanafig,instagram,New Jersey Lifestyle and Fashion,lifestyle,vlog,0.9,local,casual,Young adults and Gen Z residents in New Jersey and the NYC metro area,high,0.6,0.4
3737587897478432416,Aiyana Figueroa _aiyanafig,instagram,NJ food and lifestyle,lifestyle,montage,0.95,regional,inspirational,"NJ residents, young professionals, and food enthusiasts in the tri-state area",high,0.75,0.85
